phase,model_id,model_name,feature_set,num_features,hypothesis,check_method,params,best_params,macro_f1_val,weighted_f1_val,accuracy_val,macro_f1_test,weighted_f1_test,accuracy_test
part1,hist_gb_exp,HistGradientBoostingClassifier,with_engineering,12,Histogram boosting should model non-linear interactions better than neighborhood models.,"Fixed hyperparameters on train, evaluate on val/test.","{""learning_rate"": 0.05, ""max_depth"": null, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 30}",,0.9745642592256831,0.9779262954785997,0.978,0.973901691446045,0.9773481139555166,0.9774681687887474
part2_tuning,extra_trees_tuned,ExtraTreesClassifier,with_engineering,12,Tuning tree depth and leaf constraints should improve macro-F1 for minority class QSO.,"RandomizedSearchCV (3-fold) on train subset, retrain best on full train.","{""max_depth"": 24, ""max_leaf_nodes"": null, ""min_samples_leaf"": 1, ""n_estimators"": 260}","{""max_depth"": 24, ""max_features"": null, ""min_samples_leaf"": 1, ""n_estimators"": 260}",0.9742692253630514,0.9775681266439694,0.9776666666666667,0.9724696381737651,0.9759239431876676,0.976068262115859
part2_tuning,hist_gb_tuned,HistGradientBoostingClassifier,with_engineering,12,Tuning learning rate and leaf complexity should improve class-separation balance.,"RandomizedSearchCV (3-fold) on train subset, retrain best on full train.","{""learning_rate"": 0.05, ""max_depth"": 14, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20}","{""l2_regularization"": 0.5, ""learning_rate"": 0.05, ""max_depth"": 14, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20}",0.973800994239059,0.9772559898671922,0.9773333333333334,0.9737562210942144,0.977216078660906,0.9773348443437104
part1,stacking_exp,StackingClassifier,with_engineering,12,Stacking should combine complementary decision patterns from neighborhood and tree models.,"3-fold stacking on train, then evaluate on val/test.","{""type"": ""StackingClassifier""}",,0.9734714265409149,0.9768888116015463,0.9768,0.9740543742510667,0.9774812391445994,0.9774681687887474
part1,extra_trees_exp,ExtraTreesClassifier,with_engineering,12,Highly randomized trees should improve robustness against noisy photometric features.,"Fixed hyperparameters on train, evaluate on val/test.","{""max_depth"": null, ""max_leaf_nodes"": null, ""min_samples_leaf"": 2, ""n_estimators"": 320}",,0.9689535992887763,0.9727428950371133,0.9728,0.9679231651811713,0.9717139620636317,0.971801879874675
part1,voting_soft_exp,VotingClassifier,with_engineering,12,Soft voting across diverse estimators should reduce variance and improve macro-F1.,"Train ensemble on same split, evaluate on val/test.","{""weights"": null}",,0.9676893369258212,0.9717832327422772,0.9718666666666667,0.9671300118214132,0.9712660665815561,0.971401906539564
part1,knn_exp,KNeighborsClassifier,with_engineering,12,KNN on color-index features should capture local class neighborhoods.,"Fixed hyperparameters on train, evaluate on val/test.","{""type"": ""Pipeline""}",,0.9267592070170889,0.9340486730635074,0.9342666666666667,0.9217436213642038,0.9296573550685039,0.9298713419105393
part1,gaussian_nb_exp,GaussianNB,with_engineering,12,Naive Bayes provides a fast probabilistic baseline among non-linear CP2 models.,"Fixed hyperparameters on train, evaluate on val/test.","{""var_smoothing"": 1e-09}",,0.9217883572256045,0.9300799980251659,0.9289333333333334,0.922232549945075,0.9303218935211297,0.9291380574628358
part1,adaboost_exp,AdaBoostClassifier,with_engineering,12,Adaptive boosting over shallow trees should focus on hard-to-classify examples.,"Fixed hyperparameters on train, evaluate on val/test.","{""learning_rate"": 0.6, ""n_estimators"": 240}",,0.8518833878242263,0.872348413324842,0.8732,0.8501291406506972,0.870532858052564,0.8712752483167788
